X,Y,OBJECTID,StationName,WXID,ObservedDate,NESSID,NWSID,Elevation,SiteDescription,Latitude,Longitude,State,County,Agency,Region,Unit,SubUnit,Status,RainAccumulation,WindSpeedMPH,WindDirDegrees,AirTempStandPlace,FuelTemp,RelativeHumidity,BatteryVoltage,FuelMoisture,WindDirPeak,WindSpeedPeak,SolarRadiation,StationID
-117.136,32.7830000000001,140,MISSION VALLEY,17568281,2023/07/24 19:50:14+00,CA801094,045747,300,,32.783,-117.136,CA,San Diego,S&PF,CALIFORNIA,,San Diego Gas & Elec,A,18.53 inches,8 mph,231 degrees ,79 deg. F,94 deg. F ,63 % ,13.7 volts,9.4 (unk),229 degrees,14 mph,1036 w/m2,17568280
-138.21463,59.09063,141,DECEPTION HILLS,18734610,2023/07/24 18:25:05+00,3962A300,,2190,,59.09063,-138.21463,AK,Skagway-Hoonah-Angoon,NPS,ALASKA,SEAN Southeast AK Nt,,A,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18734608
-112.38345,37.3310500000001,150,KFO PORTABLE 2,18377234,2023/07/24 18:38:04+00,AAB1460C,,6436,"Between Thompson Wash and Bald Knoll, in the Upper Kanab Creek watershed.",37.33105,-112.38345,UT,Kane,BLM,R7 Upper CO Basin,KANAB,Kanab Field Office,A,73.59 inches,7 mph,205 degrees ,85 deg. F,NO DATA,23 % ,13 volts,NO DATA,243 degrees,15 mph,903 w/m2,18377233
-148.81775,61.7337200000001,174,LITTLE GRANITE CREEK,17483556,2023/07/24 19:56:33+00,9A70305C,500975,939,,61.73372,-148.81775,AK,Anchorage,S&PF,ALASKA,DNR,,A,3.95 inches,3 mph,209 degrees ,66 deg. F,NO DATA,66 % ,13.6 volts,NO DATA,223 degrees,11 mph,542 w/m2,17483555
-123.3198,40.2507400000001,204,RUTH,17305382,2023/07/24 17:23:04+00,3285F5E6,040508,2732,"Valley station located near the Ruth Forest Service Station. Ground cover consists of grass, manzanita, pine and fir.",40.25074,-123.3198,CA,Trinity,USFS,05,SIX RIVERS NF,MAD RIVER,A,67.98 inches,5 mph,354 degrees ,75 deg. F,85 deg. F ,32 % ,13.5 volts,10.4 (unk),349 degrees,9 mph,NO DATA,17305381
-119.963,39.2728300000001,229,KNOX 2,17705497,2023/07/24 17:19:14+00,91C0052A,260117,7568,,39.27283,-119.963,NV,Washoe,S&PF,NEVADA,,,A,11 inches,4 mph,208 degrees ,72 deg. F,82 deg. F ,34 % ,13.7 volts,6 (unk),258 degrees,19 mph,654 w/m2,17705497
-77.32307,34.8249900000001,230,HOFMANN FOREST,17274670,2023/07/24 17:10:34+00,3281B3D6,319507,42,Station is located in clearing of Pine Plantation,34.82499,-77.32307,NC,Onslow,S&PF,NORTH CAROLINA,DIV. OF FOREST RES.,D4 NEW BERN,A,26.07 inches,1 mph,248 degrees ,89 deg. F,110 deg. F ,58 % ,13.2 volts,8.1 (unk),303 degrees,7 mph,743 w/m2,17274670
-88.8001,36.16083,242,GREENFIELD,17393707,2023/07/24 19:05:14+00,02600176,401801,499,,36.16083,-88.8001,TN,Weakley,S&PF,TENNESSEE,DIVISION OF FORESTRY,West,A,33.59 inches,4 mph,51 degrees ,92 deg. F,NO DATA,50 % ,13.4 volts,NO DATA,20 degrees,10 mph,728 w/m2,17393707
-91.54333,46.3441700000001,258,BARNES,17450531,2023/07/24 17:06:14+00,53704070,470202,1210,,46.34417,-91.54333,WI,Bayfield,S&PF,WISCONSIN,DNR,Park Falls DG,A,15.27 inches,2 mph,257 degrees ,78 deg. F,90 deg. F ,59 % ,13.3 volts,10.9 (unk),294 degrees,7 mph,660 w/m2,17450530
-90.71164,35.5679200000001,263,POINSETT,17433622,2023/07/24 17:10:44+00,0720468A,032801,389,Site is located in a field just north-east of Harrisburg behind the county landfill.,35.56792,-90.71164,AR,Poinsett,S&PF,ARKANSAS,ARKANSAS FORESTRY,,A,32.16 inches,4 mph,37 degrees ,91 deg. F,106 deg. F ,57 % ,13.4 volts,9.8 (unk),38 degrees,8 mph,822 w/m2,17433621
-123.92829,40.7199400000001,271,KNEELAND,17503005,2023/07/24 19:55:39+00,CA2AB768,040429,2737,"FDRA - 100, Site is on ridgetop at the Kneeland Helitack Basesurrounded by a hardwood/conifer component.",40.71994,-123.92829,CA,Humboldt,S&PF,CALIFORNIA,CDF,HUMBOLDT-DEL NORTE U,A,50.7 inches,6 mph,341 degrees ,69 deg. F,82 deg. F ,54 % ,13.4 volts,9.7 (unk),307 degrees,15 mph,915 w/m2,17503003
-120.59449,39.7794700000001,285,DENTEN CREEK,18371092,2023/07/24 18:34:14+00,AAB03266,040921,5149,The DENTEN RAWS sits above the Mohawk Valley in a natural opening surrounded by mixed conifer on a south facing aspect.  It is approximately 1/2 to 3/4 of a mile north of HWY 70 and 2 miles south of Penman Peak.,39.77947,-120.59449,CA,Plumas,USFS,05,PLUMAS NF,,A,2.24 inches,3 mph,183 degrees ,78 deg. F,85 deg. F ,16 % ,13.3 volts,5.1 (unk),187 degrees,10 mph,443 w/m2,18371092
-84.51111,46.2408300000001,289,RUDYARD,17281059,2023/07/24 17:14:55+00,0800B04C,201505,700,,46.24083,-84.51111,MI,Chippewa,S&PF,MICHIGAN,DEPT OF NATURAL RES.,UPPER PENINSULA,A,8.02 inches,5 mph,294 degrees ,76 deg. F,NO DATA,61 % ,13.5 volts,NO DATA,266 degrees,9 mph,597 w/m2,17281058
-120.72028,48.3469400000001,305,STEHEKIN-AIRSTRIP,17266974,2023/07/24 20:01:23+00,FA411054,452121,1230,,48.34694,-120.72028,WA,,NPS,PACIFIC WEST,NORTH CASCADES NP,,A,13.56 inches,6 mph,345 degrees ,75 deg. F,80 deg. F ,40 % ,13.1 volts,5.4 (unk),22 degrees,22 mph,227 w/m2,17266974
-90.3805599999999,31.9497200000001,352,COPIAH,17365794,2023/07/24 17:09:33+00,3910363A,225502,150,,31.94972,-90.38056,MS,Copiah,S&PF,MISSISSIPPI,FORESTRY COMMISSION,Fire Services,A,37.3 inches,4 mph,317 degrees ,89 deg. F,NO DATA,45 % ,13.4 volts,NO DATA,316 degrees,12 mph,1006 w/m2,17365792
-77.11099,35.09686,374,NEW BERN,17084449,2023/07/24 17:17:55+00,407020F4,319004,20,,35.09686,-77.11099,NC,,S&PF,NORTH CAROLINA,DIV. OF FOREST RES.,D-4 NEW BERN,A,12.79 inches,0 mph,200 degrees ,89 deg. F,99 deg. F ,56 % ,13.2 volts,11.1 (unk),222 degrees,2 mph,890 w/m2,17084448
-114.09621,46.9268700000001,398,SMOKE USFS R2-924,18724355,1900/01/01 00:00:00+00,396240F2,,3200,,46.92687,-114.09621,CO,Jefferson,USFS,02,,,D,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18724355
-121.584,40.0686600000001,404,CARPENTER RIDGE,17097524,2023/07/24 19:54:48+00,CA2132D4,041213,4816,,40.06866,-121.584,CA,Butte,S&PF,CALIFORNIA,CDF,BUTTE UNIT,A,54.73 inches,6 mph,195 degrees ,81 deg. F,95 deg. F ,18 % ,13.3 volts,4.1 (unk),221 degrees,19 mph,1016 w/m2,17097522
-117.5001,33.75474,410,TEMESCAL 2  (CNF),17156668,2023/07/24 18:41:36+00,3242E0C0,045635,1748,Ridgeline above the Glen Ivy Resort. Short hike up from their water tank.,33.75474,-117.5001,CA,Riverside,USFS,05,CLEVELAND NF,TRABUCO R.D.,A,28.95 inches,10 mph,32 degrees ,98 deg. F,124 deg. F ,31 % ,13.1 volts,4.3 (unk),30 degrees,15 mph,861 w/m2,17156667
-122.83093,40.4378400000001,411,ARBUCKLE BASIN,17089841,2023/07/24 19:54:18+00,CA2AF462,040632,2452,Final sections of roads are extreme slopes and difficult.Parking for only two vehicles max at site.Contact George Cassel (530)225-2411 to arrange visit.,40.43784,-122.83093,CA,Shasta,S&PF,CALIFORNIA,CDF,SHASTA-TRINITY UNIT,A,29.97 inches,10 mph,116 degrees ,85 deg. F,115 deg. F ,26 % ,13.4 volts,3.7 (unk),100 degrees,19 mph,859 w/m2,17089839
-111.24447,45.45964,412,SHENANGO,16918063,1900/01/01 00:00:00+00,323FD390,244601,5391,VALLEY SITEFIRE WX ZONE 123,45.45964,-111.24447,MT,Gallatin,USFS,01,Custer Gallatin NF,BOZEMAN RD,A,9.21 inches,1 mph,143 degrees ,51 deg. F,NO DATA,87 % ,12.9 volts,NO DATA,17 degrees,8 mph,0 w/m2,16918063
-121.80694,37.39833,419,SANJOSE,17535249,2023/07/24 19:52:24+00,32905540,,675,,37.39833,-121.80694,CA,Santa Clara,S&PF,CALIFORNIA,CDF,SAN JOSE FIRE DEPT,A,27.52 inches,6 mph,241 degrees ,83 deg. F,105 deg. F ,30 % ,13.2 volts,9.1 (unk),232 degrees,11 mph,957 w/m2,17535249
-154.0764,62.7238800000001,423,FAREWELL,16787244,2023/07/24 19:53:45+00,3243C4D6,500624,723,,62.72388,-154.0764,AK,Yukon-Koyukuk,BLM,R11 Alaska,ALASKA FIRE SERVICE,WASHINGTON D.C.,A,4.87 inches,2 mph,272 degrees ,75 deg. F,NO DATA,55 % ,13.6 volts,NO DATA,279 degrees,10 mph,164 w/m2,16787243
-117.41203,33.6471100000001,440,EL CARISO,17018418,2023/07/24 17:20:34+00,3230A392,045619,2733,ridgetop,33.64711,-117.41203,CA,Riverside,USFS,05,CLEVELAND NF,TRABUCO RD,A,31.24 inches,3 mph,144 degrees ,97 deg. F,105 deg. F ,28 % ,13.2 volts,8.2 (unk),41 degrees,8 mph,708 w/m2,17018417
-114.15731,46.71853,451,FIRE EFFECTS PORTABLE #2,17501988,2023/07/24 18:26:56+00,328E632C,,3966,Luebrech Experimental Forest.  Snowmelt study.,46.71853,-114.15731,MT,Missoula,USFS,01,Missoula Fire Lab,,A,17.06 inches,3 mph,221 degrees ,80 deg. F,NO DATA,30 % ,13.8 volts,NO DATA,160 degrees,6 mph,732 w/m2,17501988
-150.09257,61.4222,502,PT MAC,17542429,2023/07/24 19:50:33+00,32750776,500973,136,,61.4222,-150.09257,AK,Matanuska-Susitna,S&PF,ALASKA,ALASKA FIRE SERVICE,,A,6 inches,6 mph,155 degrees ,68 deg. F,NO DATA,63 % ,13.4 volts,NO DATA,146 degrees,11 mph,548 w/m2,17542428
-83.4269399999999,31.10972,528,ADEL,17327903,2023/07/24 20:04:23+00,3100E40E,098401,232,,31.10972,-83.42694,GA,Cook,S&PF,GEORGIA,GEORGIA FORESTRY COM,,A,36.66 inches,5 mph,166 degrees ,92 deg. F,110 deg. F ,57 % ,13.1 volts,7.6 (unk),177 degrees,10 mph,807 w/m2,17327903
-111.32278,39.3094400000001,542,JOES VALLEY,17141544,2023/07/24 17:16:24+00,323C376C,421602,8700,Open SW Aspect area in the PJ/Pine to Spruce/Fir Alpinetransition zone.,39.30944,-111.32278,UT,Sanpete,USFS,04,MANTI LA SAL NF,MANTI DIVISION,A,4.95 inches,7 mph,130 degrees ,78 deg. F,88 deg. F ,24 % ,13.3 volts,5.6 (unk),134 degrees,12 mph,754 w/m2,17141544
-120.78437,40.78169,575,GRASSHOPPER,17093936,2023/07/24 19:47:44+00,CA2090D6,040721,6158,,40.78169,-120.78437,CA,Lassen,S&PF,CALIFORNIA,CDF,LASSEN-MODOC UNIT,A,15.28 inches,6 mph,206 degrees ,81 deg. F,97 deg. F ,11 % ,13.4 volts,4.1 (unk),233 degrees,18 mph,1080 w/m2,17093934
-111.35944,45.16583,578,YELLOW MULE,17081126,1900/01/01 00:00:00+00,323FF57C,244606,9200,High elevation location with subalpine fir and whitebarkpine species prevalent.  Site located near USFS recreationtrail.,45.16583,-111.35944,MT,Gallatin,USFS,01,Custer Gallatin NF,BOZEMAN RD,A,5.82 inches,5 mph,329 degrees ,45 deg. F,NO DATA,81 % ,12.8 volts,NO DATA,355 degrees,6 mph,0 w/m2,17081126
-120.75278,42.7219400000001,584,SUMMER LAKE,17370918,2023/07/24 18:38:54+00,326E25AC,353429,5085,Station is located on a bench midslope facing east. The siteis within a 2002 fire. Vegetation is grass and low evergreenbrush with a few scattered trees.,42.72194,-120.75278,OR,Lake,USFS,06,Fremont-Winema NF,,A,4.06 inches,11 mph,228 degrees ,78 deg. F,NO DATA,30 % ,13.3 volts,NO DATA,229 degrees,27 mph,845 w/m2,17370917
-122.22083,37.8650000000001,607,OAKLAND NORTH,17063962,2023/07/24 18:33:34+00,CA4A06D4,043402,1403,"RIDGETOPSTATION LOCATED WITHIN ""KPFA"" RADIO TOWER COMPOUND ON RIDGETOP EAST OF OAKLAND CITY.",37.865,-122.22083,CA,Alameda,S&PF,CALIFORNIA,Oakland,,A,40.96 inches,7 mph,193 degrees ,66 deg. F,85 deg. F ,67 % ,13.7 volts,10 (unk),202 degrees,13 mph,839 w/m2,17063962
-123.32129,39.6679600000001,630,RODEO VALLEY,17102132,2023/07/24 18:28:54+00,CA4A334E,041015,2428,Site is located off hwy 162 between hwy 101 and covelo.The site is on a knoll in an open area with no obstructions.,39.66796,-123.32129,CA,Mendocino,S&PF,CALIFORNIA,CDF,MENDOCINO UNIT,A,52.36 inches,6 mph,360 degrees ,76 deg. F,87 deg. F ,32 % ,13.4 volts,9.5 (unk),29 degrees,12 mph,770 w/m2,17102130
-81.1199599999999,32.17166,683,SAVANNAH NWR,17359138,2023/07/24 18:23:41+00,8376F068,384201,7,,32.17166,-81.11996,GA,,FWS,REGION 4,SAVANNAH NWR,,A,23.83 inches,0 mph,23 degrees ,95 deg. F,NO DATA,52 % ,13.1 volts,NO DATA,225 degrees,0 mph,1039 w/m2,17359136
-118.41257,34.1248600000001,692,BEVERLY HILLS,17117239,2023/07/24 19:55:04+00,CA41E68E,045442,1260,,34.12486,-118.41257,CA,Los Angeles,S&PF,CALIFORNIA,BEVERLY HILLS,,A,34.61 inches,3 mph,177 degrees ,95 deg. F,125 deg. F ,38 % ,13.2 volts,5.4 (unk),177 degrees,13 mph,850 w/m2,17117239
-116.28322,43.57167,693,DENNIS TECH CENTER,18739729,2023/07/24 19:46:25+00,AAB6F7B6,,2759,Station is located directly in front of the Dennis Tech Center main door entrance (south side). RH and FM will be directly affected by sprinkler system.,43.57167,-116.28322,ID,Ada,BLM,R9 Columbia Pac NW,BLM/NIFC,,A,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18739729
-156.90232,21.1408300000001,699,PUU ALII,18150933,2023/07/24 17:22:41+00,32D6062E,,3805,,21.14083,-156.90232,HI,Kalawao,NPS,PACIFIC WEST,KALAUPAPA NHP,,A,.52 inches,3 mph,49 degrees ,59 deg. F,NO DATA,97 % ,12.4 volts,NO DATA,70 degrees,12 mph,18 w/m2,18150930
-68.64167,44.06667,702,ISLE AU HAUT,16910378,2023/07/24 18:38:04+00,FA670202,170131,0,,44.06667,-68.64167,ME,Knox,NPS,NORTHEAST,ACADIA NP,,A,29.56 inches,5 mph,247 degrees ,83 deg. F,78 deg. F ,61 % ,13.2 volts,16.3 (unk),232 degrees,12 mph,773 w/m2,16910377
-122.5999,41.67576,709,BRAZIE RANCH,17097258,2023/07/24 19:54:39+00,CA2046BE,040242,3090,,41.67576,-122.5999,CA,Siskiyou,S&PF,CALIFORNIA,CDF,SISKIYOU UNIT,A,12.76 inches,7 mph,95 degrees ,84 deg. F,104 deg. F ,21 % ,13.3 volts,4.6 (unk),71 degrees,17 mph,898 w/m2,17097256
-122.80449,40.7864200000001,718,TRINITY CAMP,17104433,2023/07/24 18:28:23+00,CA20D3DC,040516,3308,This RAWS station sits on an exposed granite hill above theTrinity River Conservation Camp. It is also about 75 yardsfrom a USFS helicopter landing pad.,40.78642,-122.80449,CA,Trinity,S&PF,CALIFORNIA,CDF,SHASTA-TRINITY UNIT,A,32.89 inches,4 mph,183 degrees ,76 deg. F,93 deg. F ,31 % ,13.6 volts,5 (unk),203 degrees,10 mph,749 w/m2,17104431
-88.1652799999999,34.7775,724,TISHOMINGO,17402653,2023/07/24 17:14:14+00,391096C2,220601,300,,34.7775,-88.16528,MS,Tishomingo,S&PF,MISSISSIPPI,FORESTRY COMMISSION,Fire Services,A,29.03 inches,5 mph,107 degrees ,86 deg. F,NO DATA,54 % ,13.3 volts,NO DATA,110 degrees,10 mph,782 w/m2,17402652
-116.69944,32.6675000000001,732,BARRETT,17568018,2023/07/24 19:50:03+00,CA8003E2,,2395,,32.6675,-116.69944,CA,San Diego,S&PF,CALIFORNIA,,San Diego Gas & Elec,A,27.17 inches,10 mph,276 degrees ,97 deg. F,117 deg. F ,28 % ,13.2 volts,5.3 (unk),288 degrees,17 mph,962 w/m2,17568017
-112.44782,37.1388700000001,752,KFO PORTABLE 3,18376976,2023/07/24 18:38:14+00,AAB1557A,,5846,Located between the Vermillion Cliffs and the White Cliffs near Center Knoll.,37.13887,-112.44782,UT,Kane,BLM,R7 Upper CO Basin,KANAB,KANAB,A,36.68 inches,8 mph,226 degrees ,89 deg. F,NO DATA,21 % ,12.9 volts,NO DATA,208 degrees,16 mph,910 w/m2,18376976
-89.7966699999999,33.9858300000001,753,YALLABUSHA,17444636,2023/07/24 17:09:14+00,3910C6BE,222101,370,,33.98583,-89.79667,MS,Yalobusha,S&PF,MISSISSIPPI,FORESTRY COMMISSION,Fire Services,A,35.66 inches,3 mph,137 degrees ,90 deg. F,NO DATA,59 % ,13.6 volts,NO DATA,45 degrees,8 mph,790 w/m2,17444635
-115.5505,44.3855600000001,765,BEARSKIN CREEK,16941628,2023/07/24 17:06:14+00,3241D254,101221,7137,STATION SITS ON THE TOP OF A MAIN TIMBERED RIDGE THATRUNS FROM THE NORTH DOWN TO THE SOUTH.  DEEP VALLEYSRUNNING NORTH TO SOUTH ON THE EAST AND WEST SIDES OF SITE.,44.38556,-115.5505,ID,Valley,USFS,04,BOISE NF,LOWMAN RD,A,12.18 inches,10 mph,150 degrees ,73 deg. F,NO DATA,30 % ,13.4 volts,NO DATA,129 degrees,20 mph,326 w/m2,16941627
-117.48194,48.66389,766,TEEPEE SEED ORCHARD,17020466,2023/07/24 19:53:54+00,3231D7F8,453414,3280,"Located in the Teepee Seed Orchard on the Sullivan LakeRanger District, Colville National Forest.",48.66389,-117.48194,WA,Pend Oreille,USFS,06,COLVILLE NF,SULLIVAN LAKE RD,A,15.18 inches,7 mph,234 degrees ,86 deg. F,NO DATA,21 % ,13.3 volts,NO DATA,218 degrees,18 mph,900 w/m2,17020461
-121.29538,37.3292700000001,768,DIABLO GRANDE,17103911,2023/07/24 20:00:34+00,CA2302BA,043502,1861,Site is in transition zone between grassland/agriculture andOak woodland.,37.32927,-121.29538,CA,Stanislaus,S&PF,CALIFORNIA,CDF,SANTA CLARA,A,28.31 inches,10 mph,97 degrees ,89 deg. F,107 deg. F ,22 % ,13.5 volts,3.4 (unk),102 degrees,13 mph,956 w/m2,17103909
-118.39406,34.7283200000001,790,POPPY PARK,17137978,2023/07/24 19:56:33+00,CA41B6F2,045440,2760,"Located with the maintenance yard of Antelope Valley California Poppy Reserve SNR. Open field, native grasses.",34.72832,-118.39406,CA,Los Angeles,S&PF,CALIFORNIA,LOS ANGELES COUNTY,,A,16.38 inches,15 mph,214 degrees ,99 deg. F,115 deg. F ,22 % ,13.2 volts,3.9 (unk),225 degrees,23 mph,977 w/m2,17137977
-115.60981,42.7255900000001,807,SAYLOR CREEK BOMB RANGE,18059057,2023/07/24 20:02:21+00,32D403DA,,3608,Located in a crested wheatgrass field near the West Gate of Saylor Creek Bombing Range and Browns Gulch.,42.72559,-115.60981,ID,Owyhee,DOD,,,MTN. HOME,A,9.15 inches,4 mph,245 degrees ,80 deg. F,NO DATA,86 % ,13 volts,NO DATA,216 degrees,16 mph,175 w/m2,18059057
-100.90133,46.1602500000001,817,TATANKA PRAIRIE,17543714,2023/07/24 18:25:04+00,3280E150,328501,2316,,46.16025,-100.90133,ND,Sioux,BIA,Great Plains,Standing Rock Agency,,A,11.35 inches,11 mph,135 degrees ,87 deg. F,NO DATA,53 % ,13.2 volts,NO DATA,111 degrees,19 mph,776 w/m2,17543712
-83.29462,33.64727,850,DYAR PASTURE,18248465,2023/07/24 17:19:33+00,32D3B260,093502,481,,33.64727,-83.29462,GA,Greene,USFS,08,CHATTAHOOCHEE&OCONEE,OCONEE,A,32.87 inches,3 mph,194 degrees ,84 deg. F,107 deg. F ,70 % ,13.2 volts,7.4 (unk),213 degrees,8 mph,945 w/m2,18248465
-102.06205,46.3620700000001,859,WILLIAMS LOOKOUT,19420686,2023/07/24 17:11:54+00,3281A0A0,324101,2375,,46.36207,-102.06205,ND,Hettinger,NPS,MIDWEST,THEODORE ROOSEVELT,,A,8.94 inches,14 mph,131 degrees ,86 deg. F,94 deg. F ,54 % ,13.2 volts,10.6 (unk),122 degrees,20 mph,735 w/m2,19420685
-121.63516,39.5898300000001,861,OPENSHAW,17091637,2023/07/24 19:54:59+00,CA215732,41215,268,,39.58983,-121.63516,CA,Butte,S&PF,CALIFORNIA,CDF,BUTTE UNIT,A,28.56 inches,11 mph,178 degrees ,89 deg. F,99 deg. F ,29 % ,13.2 volts,6 (unk),188 degrees,20 mph,927 w/m2,17091636
-88.1686099999999,36.06611,876,CAMDEN TOWER,17396772,2023/07/24 17:07:15+00,0260C468,404001,512,,36.06611,-88.16861,TN,Benton,S&PF,TENNESSEE,DIVISION OF FORESTRY,West,A,31.05 inches,4 mph,145 degrees ,90 deg. F,NO DATA,57 % ,13.2 volts,NO DATA,168 degrees,11 mph,750 w/m2,17396772
-146.92606,64.6541700000001,880,LYNX,19036941,2023/07/24 17:09:44+00,32B661FA,,2134,,64.65417,-146.92606,AK,Fairbanks North Star,DOD,USA,FORT WAINWRITE,FAIRBANKS NORTH STAR,A,2.65 inches,1 mph,21 degrees ,70 deg. F,NO DATA,73 % ,13.5 volts,NO DATA,12 degrees,3 mph,84 w/m2,19036939
-115.39722,48.4305600000001,893,ZONOLITE,17521426,2023/07/24 17:06:54+00,B92002B8,,4204,,48.43056,-115.39722,MT,,OTHR,NOT APPLICABLE,NOT APPLICABLE,,A,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17521426
-115.35639,43.44631,913,NRAWS 13 (LESTER CREEK),17956422,2023/07/24 19:52:12+00,15D07B16,,4904,,43.44631,-115.35639,ID,Elmore,NWS,,,Boise WFO,A,0 inches,1 mph,331 degrees ,68 deg. F,67 deg. F ,58 % ,12.7 volts,9.1 (unk),311 degrees,7 mph,123 w/m2,17956421
